classes (Adelie, Gentoo), features (bill_length_mm, bill_depth_mm), accuracy (1.0)
classes (Adelie, Gentoo), features (bill_length_mm, flipper_length_mm), accuracy (0.55)
classes (Adelie, Gentoo), features (bill_length_mm, gender), accuracy (0.425)
classes (Adelie, Gentoo), features (bill_length_mm, body_mass_g), accuracy (0.425)
classes (Adelie, Gentoo), features (bill_depth_mm, flipper_length_mm), accuracy (0.975)
classes (Adelie, Gentoo), features (bill_depth_mm, gender), accuracy (0.95)
classes (Adelie, Gentoo), features (bill_depth_mm, body_mass_g), accuracy (0.45)
classes (Adelie, Gentoo), features (flipper_length_mm, gender), accuracy (0.55)
classes (Adelie, Gentoo), features (flipper_length_mm, body_mass_g), accuracy (0.475)
classes (Adelie, Gentoo), features (gender, body_mass_g), accuracy (0.45)
classes (Adelie, Chinstrap), features (bill_length_mm, bill_depth_mm), accuracy (1.0)
classes (Adelie, Chinstrap), features (bill_length_mm, flipper_length_mm), accuracy (0.975)
classes (Adelie, Chinstrap), features (bill_length_mm, gender), accuracy (0.6)
classes (Adelie, Chinstrap), features (bill_length_mm, body_mass_g), accuracy (0.45)
classes (Adelie, Chinstrap), features (bill_depth_mm, flipper_length_mm), accuracy (0.475)
classes (Adelie, Chinstrap), features (bill_depth_mm, gender), accuracy (0.45)
classes (Adelie, Chinstrap), features (bill_depth_mm, body_mass_g), accuracy (0.375)
classes (Adelie, Chinstrap), features (flipper_length_mm, gender), accuracy (0.475)
classes (Adelie, Chinstrap), features (flipper_length_mm, body_mass_g), accuracy (0.475)
classes (Adelie, Chinstrap), features (gender, body_mass_g), accuracy (0.475)
classes (Gentoo, Chinstrap), features (bill_length_mm, bill_depth_mm), accuracy (0.575)
classes (Gentoo, Chinstrap), features (bill_length_mm, flipper_length_mm), accuracy (0.875)
classes (Gentoo, Chinstrap), features (bill_length_mm, gender), accuracy (0.55)
classes (Gentoo, Chinstrap), features (bill_length_mm, body_mass_g), accuracy (0.925)
classes (Gentoo, Chinstrap), features (bill_depth_mm, flipper_length_mm), accuracy (1.0)
classes (Gentoo, Chinstrap), features (bill_depth_mm, gender), accuracy (0.975)
classes (Gentoo, Chinstrap), features (bill_depth_mm, body_mass_g), accuracy (0.55)
classes (Gentoo, Chinstrap), features (flipper_length_mm, gender), accuracy (0.525)
classes (Gentoo, Chinstrap), features (flipper_length_mm, body_mass_g), accuracy (0.8)
classes (Gentoo, Chinstrap), features (gender, body_mass_g), accuracy (0.5)
